name,wdid,position
Siaosi Sovaleni,Q19631293,Premier ministre
Siaosi Sovaleni,Q19631293,Ministre de l'Éducation et de la Formation
Siaosi Sovaleni,Q19631293,Ministre de la Police et des Services d'urgence
Siaosi Sovaleni,Q19631293,Ministre des Forces armées de Sa Majesté
Poasi Tei,Q96479418,Vice-Premier ministre
Poasi Tei,Q96479418,"Ministre de la Météorologie, de l'Énergie, de l'Information, de la Gestion des catastrophes naturelles, de l'Environnement, des Communications, et du Réchauffement climatique"
Poasi Tei,Q96479418,Ministre des Entreprises publiques
Samiu Vaipulu,Q3470867,Ministre de la Justice et des Prisons
Tatafu Moeaki,,Ministre des Finances
Tatafu Moeaki,,Ministre des Douanes
Lord Tuʻiʻafitu,Q16194844,Ministre des Terres et des Ressources naturelles
Fekitamoeloa ʻUtoikamanu,,Ministre des Affaires étrangères
Fekitamoeloa ʻUtoikamanu,,Ministre du Tourisme
Saia Piukala,,Ministre de la Santé
Viliami Latu,Q7930213,Ministre du Commerce extérieur et du Développement économique
Viliami Hingano,Q96592493,"Ministre de l'Agriculture, de l'Alimentation et des Forêts"
Semisi Fakahau,,Ministre des Pêcheries
Sione Saulala,Q7525391,Ministre de l'Intérieur
Sevenitini Toumo‘ua,,Ministre des Infrastructures
