position,title
Q42298576,monarch
Q915636,Prime Minister
Q108887636,Deputy Prime Minister
Q108888398,"Minister for Agriculture, Food, and Forests"
Q109918661,Minister of Defence
Q108888371,Minister for Education and Training
Q108887682,Minister for the Environment and Climate Change
Q104855433,Minister of Finance
Q108888397,Minister for Fisheries
Q19901426,Minister of Foreign Affairs
Q108888377,Minister of Health
Q108887638,Minister of Infrastructure
Q108888383,Minister for Internal Affairs
Q108887653,Minister of Justice
Q108888441,"Minister for Labour, Commerce and Industries"
Q108887679,"Minister for Lands and Natural Resources"
Q108888413,Minister of Police
Q108888368,Minister for Public Enterprises
Q108888407,Minister for Revenue
Q108887702,Minister for Revenue and Customs
Q108888428,Minister of Tourism
Q108888380,Minister for Trade and Economic Development
Q4818619,Attorney General
Q108888391,Speaker of the Legislative Assembly
Q109918774,Governor of the National Reserve Bank
Q109918793,Chief of Defence Staff
